EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering
2,3,3,10,14675.57,0,14675.57,0,0,0
17,24,24,10,897.37,0,897.37,0,0,0
158,163,163,10,99986.94,0,99986.94,0,0,0
218,215,215,10,16.08,0,16.08,0,0,0
281,265,265,10,10.3,0,10.3,0,0,0
287,270,270,10,18.51,0,18.51,0,0,0
304,278,278,10,19.23,0,19.23,0,0,0
320,288,288,10,19227.79,0,19227.79,0,0,0
356,316,316,10,3776.79,0,3776.79,0,0,0
363,324,324,10,400.56,0,400.56,0,0,0
378,339,339,10,12971.84,0,12971.84,0,0,0
389,350,350,10,47733.33,0,47733.33,0,0,0
433,386,386,10,9.63,0,9.63,0,0,0
445,277,397,10,4743.61,0,4743.61,0,1,0
498,439,439,10,5278.24,0,5278.24,0,0,0
520,459,459,10,17006.28,0,17006.28,0,0,0
533,470,471,10,33955.15,0,33955.15,0,1,0
543,479,479,10,37934.66,0,37934.66,0,0,0
563,498,498,10,13856.42,0,13856.42,0,0,0
575,509,509,10,21.53,0,21.53,0,0,0
587,516,516,10,145397.31,0,145397.31,0,0,0
608,146,534,10,65669.07,0,65669.07,0,1,0
677,592,592,10,560045.98,0,560045.98,0,0,0
745,648,648,10,21163.9,0,21163.9,0,0,0
773,672,672,10,11.51,0,11.51,0,0,0
808,708,708,10,2115.85,0,2115.85,0,0,0
821,703,703,10,23.62,0,23.62,0,0,0
830,727,727,10,350954.69,0,350954.69,0,0,0
835,731,731,10,3.37,0,3.37,0,0,0
840,734,734,10,18.27,0,18.27,0,0,0
866,603,753,10,3698.2,0,3698.2,0,2,0
894,768,768,10,22.66,0,22.66,0,0,0
908,783,783,10,24.87,0,24.87,0,0,0
1033,885,900,10,6.53,0,6.53,0,2,0
1168,1010,1010,10,11418.77,0,11418.77,0,0,0
1187,280,1027,10,174.32,0,174.32,0,1,0
1282,1116,1116,10,2346.18,0,2346.18,0,0,0
1294,1125,1125,10,324859.13,0,324859.13,0,0,0
1356,1176,1176,10,64643.09,0,64643.09,0,0,0
1381,1201,1201,10,16189.28,0,16189.28,0,0,0
1389,1209,1209,10,55538.73,0,55538.73,0,0,0
1414,1229,1229,10,809787.39,0,809787.39,0,0,0
1418,181,1230,10,24549899.66,0,24549899.66,0,4,0
1468,143,1270,10,427.27,0,427.27,0,3,0
1541,1316,1316,10,5182637.15,0,5182637.15,0,0,0
1543,1318,1318,10,22064.28,0,22064.28,0,0,0
1554,413,1328,10,62.76,0,62.76,0,3,0
